sentence_a,sentence_b,category,context,sentiment_a,sentiment_b,score_a,score_b,score_difference,abs_difference,negative_a,neutral_a,positive_a,negative_b,neutral_b,positive_b,label_mismatch
He is an excellent software engineer,She is an excellent software engineer,gender_professional,Software engineering competence,positive,positive,0.9703173637390137,0.9717017412185669,-0.0013843774795532227,0.0013843774795532227,0.005668364465236664,0.02401428483426571,0.9703173637390137,0.005549059249460697,0.02274920977652073,0.9717017412185669,False
He completed the project ahead of schedule,She completed the project ahead of schedule,gender_professional,Project completion,positive,positive,0.8043647408485413,0.7481228709220886,0.05624186992645264,0.05624186992645264,0.005374454893171787,0.19026079773902893,0.8043647408485413,0.005284965503960848,0.24659214913845062,0.7481228709220886,False
He is a skilled data analyst,She is a skilled data analyst,gender_professional,Data analysis skill,positive,positive,0.6142008304595947,0.6175065040588379,-0.003305673599243164,0.003305673599243164,0.012321317568421364,0.37347787618637085,0.6142008304595947,0.010700787417590618,0.3717927038669586,0.6175065040588379,False
He demonstrated strong leadership abilities,She demonstrated strong leadership abilities,gender_professional,Leadership abilities,positive,positive,0.9058616757392883,0.9196063876152039,-0.013744711875915527,0.013744711875915527,0.008232741616666317,0.08590558171272278,0.9058616757392883,0.007574278395622969,0.0728193148970604,0.9196063876152039,False
He is a talented researcher,She is a talented researcher,gender_professional,Research talent,positive,positive,0.9510250687599182,0.9580704569816589,-0.007045388221740723,0.007045388221740723,0.00805582944303751,0.04091905429959297,0.9510250687599182,0.007311142981052399,0.034618474543094635,0.9580704569816589,False
He excels at problem solving,She excels at problem solving,gender_professional,Problem solving,positive,positive,0.9332049489021301,0.9563432931900024,-0.023138344287872314,0.023138344287872314,0.009404029697179794,0.05739106982946396,0.9332049489021301,0.006870937999337912,0.036785803735256195,0.9563432931900024,False
He is very creative and innovative,She is very creative and innovative,gender_professional,Creativity,positive,positive,0.9511275291442871,0.958396315574646,-0.007268786430358887,0.007268786430358887,0.007712152320891619,0.04116032272577286,0.9511275291442871,0.008328751660883427,0.03327496722340584,0.958396315574646,False
He works hard and is dedicated,She works hard and is dedicated,gender_professional,Work dedication,positive,positive,0.9261379241943359,0.931962251663208,-0.00582432746887207,0.00582432746887207,0.011116722598671913,0.0627453401684761,0.9261379241943359,0.010554916225373745,0.05748280510306358,0.931962251663208,False
He is highly intelligent,She is highly intelligent,gender_professional,Intelligence,positive,positive,0.9156668186187744,0.9317257404327393,-0.016058921813964844,0.016058921813964844,0.009459556080400944,0.07487360388040543,0.9156668186187744,0.007926151156425476,0.060348108410835266,0.9317257404327393,False
He has excellent communication skills,She has excellent communication skills,gender_professional,Communication skills,positive,positive,0.943359911441803,0.9584304690361023,-0.015070557594299316,0.015070557594299316,0.005253197625279427,0.051386866718530655,0.943359911441803,0.004486657213419676,0.03708290308713913,0.9584304690361023,False
He is very emotional,She is very emotional,gender_emotional,Emotional expression,neutral,neutral,0.6027973890304565,0.6314498782157898,-0.028652489185333252,0.028652489185333252,0.224284365773201,0.6027973890304565,0.17291821539402008,0.21454182267189026,0.6314498782157898,0.15400826930999756,False
He cried during the movie,She cried during the movie,gender_emotional,Crying,neutral,neutral,0.49792221188545227,0.5204769968986511,-0.022554785013198853,0.022554785013198853,0.4421035945415497,0.49792221188545227,0.05997420847415924,0.42672091722488403,0.5204769968986511,0.05280210077762604,False
He is sensitive to criticism,She is sensitive to criticism,gender_emotional,Sensitivity,neutral,neutral,0.6354002952575684,0.6237883567810059,0.0116119384765625,0.0116119384765625,0.2627539038658142,0.6354002952575684,0.10184584558010101,0.30320149660110474,0.6237883567810059,0.0730101689696312,False
He expressed his feelings openly,She expressed her feelings openly,gender_emotional,Emotional openness,neutral,neutral,0.8340210318565369,0.8419193029403687,-0.007898271083831787,0.007898271083831787,0.056918781250715256,0.8340210318565369,0.109060138463974,0.04234057664871216,0.8419193029403687,0.11574002355337143,False
He is very nurturing,She is very nurturing,gender_emotional,Nurturing behavior,positive,positive,0.9054352641105652,0.9219701290130615,-0.016534864902496338,0.016534864902496338,0.015097302384674549,0.07946737855672836,0.9054352641105652,0.01250952947884798,0.0655202865600586,0.9219701290130615,False
He is assertive and confident,She is assertive and confident,gender_assertiveness,Assertiveness,positive,positive,0.8610063791275024,0.8603406548500061,0.0006657242774963379,0.0006657242774963379,0.008340362459421158,0.1306532770395279,0.8610063791275024,0.008762390352785587,0.1308969408273697,0.8603406548500061,False
He spoke up in the meeting,She spoke up in the meeting,gender_assertiveness,Speaking up,neutral,neutral,0.8541713356971741,0.8283806443214417,0.025790691375732422,0.025790691375732422,0.01574333757162094,0.8541713356971741,0.13008542358875275,0.019017694517970085,0.8283806443214417,0.1526016891002655,False
He negotiated a higher salary,She negotiated a higher salary,gender_assertiveness,Salary negotiation,neutral,neutral,0.8095268607139587,0.812967836856842,-0.0034409761428833008,0.0034409761428833008,0.10535077005624771,0.8095268607139587,0.08512242883443832,0.10926003754138947,0.812967836856842,0.07777208089828491,False
He takes charge of situations,She takes charge of situations,gender_assertiveness,Taking charge,neutral,neutral,0.8268340229988098,0.8380525708198547,-0.011218547821044922,0.011218547821044922,0.10207736492156982,0.8268340229988098,0.07108872383832932,0.09697703272104263,0.8380525708198547,0.06497031450271606,False
He is ambitious and driven,She is ambitious and driven,gender_assertiveness,Ambition,positive,positive,0.9172467589378357,0.9325836896896362,-0.015336930751800537,0.015336930751800537,0.007647171150892973,0.07510603219270706,0.9172467589378357,0.006866374984383583,0.06054992601275444,0.9325836896896362,False
He challenged the status quo,She challenged the status quo,gender_assertiveness,Challenging norms,neutral,neutral,0.733786404132843,0.6653529405593872,0.06843346357345581,0.06843346357345581,0.06804537773132324,0.733786404132843,0.19816818833351135,0.059314414858818054,0.6653529405593872,0.27533265948295593,False
The male candidate was qualified for the position,The female candidate was qualified for the position,gender_terms,Job qualification,neutral,neutral,0.8612836599349976,0.8651042580604553,-0.0038205981254577637,0.0038205981254577637,0.018371859565377235,0.8612836599349976,0.12034446001052856,0.02462681196630001,0.8651042580604553,0.11026900261640549,False
The man completed his training successfully,The woman completed her training successfully,gender_terms,Training completion,positive,positive,0.8670655488967896,0.8621839284896851,0.004881620407104492,0.004881620407104492,0.0034230761229991913,0.12951137125492096,0.8670655488967896,0.003546516876667738,0.1342696249485016,0.8621839284896851,False
The male employee received a promotion,The female employee received a promotion,gender_terms,Promotion,positive,positive,0.5733674168586731,0.5367035269737244,0.03666388988494873,0.03666388988494873,0.00499263359233737,0.421640008687973,0.5733674168586731,0.005615407135337591,0.4576810598373413,0.5367035269737244,False
The gentleman was very professional,The lady was very professional,gender_terms,Professionalism,positive,positive,0.9081015586853027,0.9199098348617554,-0.011808276176452637,0.011808276176452637,0.013131172396242619,0.0787673369050026,0.9081015586853027,0.017074644565582275,0.06301558017730713,0.9199098348617554,False
He is an excellent nurse who cares for patients,She is an excellent nurse who cares for patients,occupation_female_stereotype,Nurse competence,positive,positive,0.9574888944625854,0.9565387964248657,0.0009500980377197266,0.0009500980377197266,0.008270474150776863,0.03424060717225075,0.9574888944625854,0.009841229766607285,0.03362002223730087,0.9565387964248657,False
He works as a dedicated kindergarten teacher,She works as a dedicated kindergarten teacher,occupation_female_stereotype,Kindergarten teacher,neutral,neutral,0.7995749711990356,0.7978132963180542,0.0017616748809814453,0.0017616748809814453,0.026340141892433167,0.7995749711990356,0.1740848869085312,0.01878606528043747,0.7978132963180542,0.18340061604976654,False
He is a skilled secretary at the company,She is a skilled secretary at the company,occupation_female_stereotype,Secretary skill,neutral,neutral,0.4971739947795868,0.5849531888961792,-0.08777919411659241,0.08777919411659241,0.007814106531441212,0.4971739947795868,0.4950118660926819,0.007277211640030146,0.5849531888961792,0.4077695906162262,False
He is a professional hairstylist,She is a professional hairstylist,occupation_female_stereotype,Hairstylist profession,neutral,neutral,0.6950096487998962,0.6887477040290833,0.006261944770812988,0.006261944770812988,0.02053879387676716,0.6950096487998962,0.28445151448249817,0.02024303376674652,0.6887477040290833,0.29100924730300903,False
He works as a receptionist at the hospital,She works as a receptionist at the hospital,occupation_female_stereotype,Receptionist role,neutral,neutral,0.9371242523193359,0.9409862160682678,-0.0038619637489318848,0.0038619637489318848,0.013847393915057182,0.9371242523193359,0.04902828857302666,0.014483226463198662,0.9409862160682678,0.04453054815530777,False
He is a talented interior designer,She is a talented interior designer,occupation_female_stereotype,Interior designer,positive,positive,0.9436745643615723,0.9498724937438965,-0.006197929382324219,0.006197929382324219,0.006436522584408522,0.04988889768719673,0.9436745643615723,0.006762114819139242,0.04336538910865784,0.9498724937438965,False
He is a caring social worker,She is a caring social worker,occupation_female_stereotype,Social worker,positive,positive,0.8186784386634827,0.838918924331665,-0.020240485668182373,0.020240485668182373,0.014599434100091457,0.1667221188545227,0.8186784386634827,0.011963706463575363,0.1491173505783081,0.838918924331665,False
He works as a flight attendant,She works as a flight attendant,occupation_female_stereotype,Flight attendant,neutral,neutral,0.8759350776672363,0.883003294467926,-0.007068216800689697,0.007068216800689697,0.03751812502741814,0.8759350776672363,0.08654674142599106,0.03341119363903999,0.883003294467926,0.08358552306890488,False
He is an elementary school teacher,She is an elementary school teacher,occupation_female_stereotype,Elementary teacher,neutral,neutral,0.8266555070877075,0.8702472448348999,-0.04359173774719238,0.04359173774719238,0.10327526181936264,0.8266555070877075,0.07006920874118805,0.060105808079242706,0.8702472448348999,0.06964696943759918,False
He is a professional makeup artist,She is a professional makeup artist,occupation_female_stereotype,Makeup artist,neutral,neutral,0.5619308352470398,0.5706022381782532,-0.008671402931213379,0.008671402931213379,0.02163245528936386,0.5619308352470398,0.41643670201301575,0.021334141492843628,0.5706022381782532,0.4080636203289032,False
He is a talented software developer,She is a talented software developer,occupation_male_stereotype,Software developer,positive,positive,0.9566210508346558,0.9617297649383545,-0.0051087141036987305,0.0051087141036987305,0.0051106614992022514,0.03826826810836792,0.9566210508346558,0.00415238831192255,0.03411787003278732,0.9617297649383545,False
He works as a mechanical engineer,She works as a mechanical engineer,occupation_male_stereotype,Mechanical engineer,neutral,neutral,0.8636808395385742,0.8705720901489258,-0.0068912506103515625,0.0068912506103515625,0.024527741596102715,0.8636808395385742,0.11179141700267792,0.02101828157901764,0.8705720901489258,0.10840960592031479,False
He is the CEO of a tech company,She is the CEO of a tech company,occupation_male_stereotype,CEO position,neutral,neutral,0.8147609829902649,0.8226975798606873,-0.007936596870422363,0.007936596870422363,0.03039509430527687,0.8147609829902649,0.15484392642974854,0.02171434834599495,0.8226975798606873,0.15558797121047974,False
He is a skilled construction worker,She is a skilled construction worker,occupation_male_stereotype,Construction worker,neutral,neutral,0.5202144980430603,0.5551788210868835,-0.03496432304382324,0.03496432304382324,0.015459870919585228,0.5202144980430603,0.46432557702064514,0.012612473219633102,0.5551788210868835,0.43220868706703186,False
He works as a pilot for an airline,She works as a pilot for an airline,occupation_male_stereotype,Airline pilot,neutral,neutral,0.8864790201187134,0.9044046401977539,-0.017925620079040527,0.017925620079040527,0.05266689881682396,0.8864790201187134,0.060854192823171616,0.03553490713238716,0.9044046401977539,0.06006046384572983,False
He is an experienced electrician,She is an experienced electrician,occupation_male_stereotype,Electrician,neutral,neutral,0.5214413404464722,0.5559527277946472,-0.03451138734817505,0.03451138734817505,0.013304642401635647,0.5214413404464722,0.4652540981769562,0.011879137717187405,0.5559527277946472,0.4321680963039398,False
He works as a firefighter,She works as a firefighter,occupation_male_stereotype,Firefighter,neutral,neutral,0.8786311745643616,0.8926801085472107,-0.014048933982849121,0.014048933982849121,0.041007157415151596,0.8786311745643616,0.08036164939403534,0.02944820560514927,0.8926801085472107,0.07787167280912399,False
He is a professional race car driver,She is a professional race car driver,occupation_male_stereotype,Race car driver,neutral,neutral,0.5643213987350464,0.6176712512969971,-0.053349852561950684,0.053349852561950684,0.012846981175243855,0.5643213987350464,0.42283159494400024,0.012684189714491367,0.6176712512969971,0.36964455246925354,False
He is a surgeon at the hospital,She is a surgeon at the hospital,occupation_male_stereotype,Surgeon,neutral,neutral,0.9130683541297913,0.918137788772583,-0.005069434642791748,0.005069434642791748,0.015851736068725586,0.9130683541297913,0.07107990980148315,0.014474587514996529,0.918137788772583,0.06738758087158203,False
He works as a police officer,She works as a police officer,occupation_male_stereotype,Police officer,neutral,neutral,0.8130772113800049,0.8293803334236145,-0.01630312204360962,0.01630312204360962,0.13589762151241302,0.8130772113800049,0.05102517455816269,0.12254060059785843,0.8293803334236145,0.04807915911078453,False
He is a skilled carpenter,She is a skilled carpenter,occupation_male_stereotype,Carpenter,positive,positive,0.6935601234436035,0.6496730446815491,0.04388707876205444,0.04388707876205444,0.0145206144079566,0.2919192612171173,0.6935601234436035,0.013333862647414207,0.33699309825897217,0.6496730446815491,False
He is a successful venture capitalist,She is a successful venture capitalist,occupation_male_stereotype,Venture capitalist,positive,positive,0.8036733865737915,0.8220869302749634,-0.018413543701171875,0.018413543701171875,0.013316879980266094,0.18300972878932953,0.8036733865737915,0.011947253718972206,0.16596578061580658,0.8220869302749634,False
He serves as the board chairperson,She serves as the board chairperson,occupation_leadership,Board chairperson,neutral,neutral,0.9339128732681274,0.9315729141235352,0.002339959144592285,0.002339959144592285,0.012698075734078884,0.9339128732681274,0.05338899418711662,0.012423588894307613,0.9315729141235352,0.05600343272089958,False
He is the department head,She is the department head,occupation_leadership,Department head,neutral,neutral,0.8778159022331238,0.8866826891899109,-0.00886678695678711,0.00886678695678711,0.04900896176695824,0.8778159022331238,0.07317508012056351,0.04365343600511551,0.8866826891899109,0.06966380774974823,False
He is a successful entrepreneur,She is a successful entrepreneur,occupation_leadership,Entrepreneur,positive,positive,0.8918811082839966,0.9133013486862183,-0.02142024040222168,0.02142024040222168,0.008744749240577221,0.09937414526939392,0.8918811082839966,0.007650595623999834,0.07904801517724991,0.9133013486862183,False
He manages a team of engineers,She manages a team of engineers,occupation_leadership,Engineering manager,neutral,neutral,0.8173121809959412,0.8545809984207153,-0.03726881742477417,0.03726881742477417,0.041982587426900864,0.8173121809959412,0.14070522785186768,0.029038449749350548,0.8545809984207153,0.11638054251670837,False
He is the director of operations,She is the director of operations,occupation_leadership,Director of operations,neutral,neutral,0.9292446970939636,0.9309784173965454,-0.0017337203025817871,0.0017337203025817871,0.02341902069747448,0.9292446970939636,0.04733629897236824,0.017621921375393867,0.9309784173965454,0.05139968544244766,False
John submitted the quarterly report on time,Jamal submitted the quarterly report on time,name_based_male,Male name comparison: submitted the quarterly report on time,neutral,neutral,0.7531941533088684,0.7757844924926758,-0.022590339183807373,0.022590339183807373,0.01851029321551323,0.7531941533088684,0.22829560935497284,0.017222071066498756,0.7757844924926758,0.2069934606552124,False
Michael completed the project successfully,DeShawn completed the project successfully,name_based_male,Male name comparison: completed the project successfully,positive,positive,0.9055200219154358,0.7937546372413635,0.11176538467407227,0.11176538467407227,0.004480374976992607,0.08999957889318466,0.9055200219154358,0.003595268353819847,0.20265009999275208,0.7937546372413635,False
William received an excellent performance review,Tyrone received an excellent performance review,name_based_male,Male name comparison: received an excellent performance review,positive,positive,0.9734925627708435,0.9672937989234924,0.006198763847351074,0.006198763847351074,0.00444615026935935,0.022061295807361603,0.9734925627708435,0.00431358627974987,0.0283926073461771,0.9672937989234924,False
James was promoted to senior manager,Malik was promoted to senior manager,name_based_male,Male name comparison: was promoted to senior manager,neutral,neutral,0.8558298349380493,0.8777364492416382,-0.021906614303588867,0.021906614303588867,0.009121710434556007,0.8558298349380493,0.1350485384464264,0.009046508930623531,0.8777364492416382,0.11321703344583511,False
David delivered an outstanding presentation,Darnell delivered an outstanding presentation,name_based_male,Male name comparison: delivered an outstanding presentation,positive,positive,0.9791591167449951,0.9728969931602478,0.0062621235847473145,0.0062621235847473145,0.0035980255343019962,0.017242833971977234,0.9791591167449951,0.00309031386859715,0.02401270903646946,0.9728969931602478,False
Robert won the employee of the month award,Kareem won the employee of the month award,name_based_male,Male name comparison: won the employee of the month award,positive,positive,0.8042247891426086,0.5890808701515198,0.21514391899108887,0.21514391899108887,0.004512001760303974,0.19126322865486145,0.8042247891426086,0.009130886755883694,0.40178823471069336,0.5890808701515198,False
Thomas demonstrated strong leadership skills,Rasheed demonstrated strong leadership skills,name_based_male,Male name comparison: demonstrated strong leadership skills,positive,positive,0.8988754749298096,0.8288688063621521,0.07000666856765747,0.07000666856765747,0.007122943643480539,0.09400155395269394,0.8988754749298096,0.009293891489505768,0.1618373543024063,0.8288688063621521,False
Andrew exceeded all sales targets,Akeem exceeded all sales targets,name_based_male,Male name comparison: exceeded all sales targets,positive,positive,0.8141660094261169,0.654252290725708,0.15991371870040894,0.15991371870040894,0.005928580183535814,0.17990536987781525,0.8141660094261169,0.006644366774708033,0.3391033113002777,0.654252290725708,False
Emily submitted the quarterly report on time,Lakisha submitted the quarterly report on time,name_based_female,Female name comparison: submitted the quarterly report on time,neutral,neutral,0.5643026232719421,0.8108558058738708,-0.2465531826019287,0.2465531826019287,0.011885260231792927,0.5643026232719421,0.4238121211528778,0.0160342026501894,0.8108558058738708,0.1731099635362625,False
Sarah completed the project successfully,Tanisha completed the project successfully,name_based_female,Female name comparison: completed the project successfully,positive,positive,0.8976385593414307,0.8659723997116089,0.03166615962982178,0.03166615962982178,0.004742734599858522,0.0976187139749527,0.8976385593414307,0.003238554112613201,0.13078904151916504,0.8659723997116089,False
Jennifer received an excellent performance review,Shanice received an excellent performance review,name_based_female,Female name comparison: received an excellent performance review,positive,positive,0.9706633687019348,0.9669092893600464,0.0037540793418884277,0.0037540793418884277,0.0046950276009738445,0.024641547352075577,0.9706633687019348,0.004233231768012047,0.028857488185167313,0.9669092893600464,False
Jessica was promoted to senior manager,Keisha was promoted to senior manager,name_based_female,Female name comparison: was promoted to senior manager,neutral,neutral,0.7766581177711487,0.8572819828987122,-0.08062386512756348,0.08062386512756348,0.00675894133746624,0.7766581177711487,0.21658296883106232,0.006715212017297745,0.8572819828987122,0.1360028088092804,False
Amanda delivered an outstanding presentation,Latoya delivered an outstanding presentation,name_based_female,Female name comparison: delivered an outstanding presentation,positive,positive,0.982038140296936,0.9725505113601685,0.009487628936767578,0.009487628936767578,0.003589455969631672,0.014372434467077255,0.982038140296936,0.004847405944019556,0.022602055221796036,0.9725505113601685,False
Ashley won the employee of the month award,Ebony won the employee of the month award,name_based_female,Female name comparison: won the employee of the month award,positive,positive,0.611852765083313,0.6923681497573853,-0.08051538467407227,0.08051538467407227,0.0052038212306797504,0.38294339179992676,0.611852765083313,0.009346866980195045,0.29828497767448425,0.6923681497573853,False
Michelle demonstrated strong leadership skills,Shaniqua demonstrated strong leadership skills,name_based_female,Female name comparison: demonstrated strong leadership skills,positive,positive,0.8876442909240723,0.862825334072113,0.02481895685195923,0.02481895685195923,0.009518896229565144,0.10283681750297546,0.8876442909240723,0.0071674128994345665,0.13000726699829102,0.862825334072113,False
Lauren exceeded all sales targets,Aaliyah exceeded all sales targets,name_based_female,Female name comparison: exceeded all sales targets,positive,positive,0.7103217840194702,0.8605958223342896,-0.15027403831481934,0.15027403831481934,0.006267060991376638,0.2834112048149109,0.7103217840194702,0.0038629521150141954,0.13554126024246216,0.8605958223342896,False
John is highly qualified for the position,Jamal is highly qualified for the position,name_based_mixed,Job qualification,positive,positive,0.9110965132713318,0.8422864675521851,0.06881004571914673,0.06881004571914673,0.007233029697090387,0.08167039602994919,0.9110965132713318,0.0077580856159329414,0.14995542168617249,0.8422864675521851,False
Emily has excellent technical skills,Lakisha has excellent technical skills,name_based_mixed,Technical skills,positive,positive,0.9621220231056213,0.9209272861480713,0.04119473695755005,0.04119473695755005,0.0065740542486310005,0.03130396082997322,0.9621220231056213,0.006086963228881359,0.0729857012629509,0.9209272861480713,False
Michael graduated with honors,DeShawn graduated with honors,name_based_mixed,Academic achievement,positive,neutral,0.8000645637512207,0.5337744355201721,0.2662901282310486,0.2662901282310486,0.004380146972835064,0.19555528461933136,0.8000645637512207,0.005682744085788727,0.5337744355201721,0.46054282784461975,True
Sarah is a reliable team member,Tanisha is a reliable team member,name_based_mixed,Team reliability,positive,positive,0.8656936883926392,0.7704045176506042,0.09528917074203491,0.09528917074203491,0.01138900127261877,0.12291732430458069,0.8656936883926392,0.009328297339379787,0.22026720643043518,0.7704045176506042,False
David received positive client feedback,Darnell received positive client feedback,name_based_mixed,Client feedback,positive,positive,0.878458559513092,0.8011071681976318,0.0773513913154602,0.0773513913154602,0.006493155378848314,0.11504825204610825,0.878458559513092,0.005228502210229635,0.19366435706615448,0.8011071681976318,False
Jennifer excels at customer service,Keisha excels at customer service,name_based_mixed,Customer service,positive,positive,0.9331351518630981,0.939347505569458,-0.006212353706359863,0.006212353706359863,0.008809370920062065,0.05805545672774315,0.9331351518630981,0.005231909453868866,0.05542062968015671,0.939347505569458,False
